system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,landcover,month,NARI,NCRI,northness,random,slope,snow_cover,snow_depth,species,SWE,year,.geo
21_0_0,0.710246612,228,2.5028076,11.496643,-6.839203,1383.5376,201.1973,41.488865,41.488865,498.4542,198.94069,464.22116,243.0792,2.5028076,2.5028076,2.5028076,18.196869,-1.4934998,-1.4934998,9.966736,-4.642456,4,-0.743144825,1932,0.089511275,321,6,0.26424438,0.25257316,-0.669130606,0.178679166,24,60.15846163,0.594595475,Lagopus muta,0.173288069,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.420833333333333,47.129166666666656]}"
22_0_0,0.46341832,332,-0.6732788,8.343811,-10.130951,1530.3363,230.29897,42.22359,42.22359,564.685,219.54095,521.0241,282.6973,-0.6732788,-0.6732788,-0.6732788,15.084259,-5.16745,-5.16745,7.1388855,-6.391266,2,-0.469471563,2074,0.09493536,321,6,0.20273833,0.23917384,0.882947593,0.544189885,13,62.17005558,0.713011304,Lagopus muta,0.220774615,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.620833333333328,47.08749999999999]}"
23_0_0,0.326309481,215,-0.21954346,8.750122,-9.764954,1927.4003,293.8135,52.27081,52.27081,697.37103,273.11948,628.88367,367.69348,-0.21954346,-0.21954346,-0.21954346,15.291931,-4.724945,-4.724945,6.9075317,-5.7134705,0,-0.573576436,2134,0.07878212,333,6,0.13451858,0.08986165,-0.819152044,0.692725298,12,56.34069885,0.594021026,Lagopus muta,0.186311528,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.012499999999996,47.195833333333326]}"
24_0_0,0.321859514,329,1.4712219,10.387756,-7.912689,1707.2148,254.34264,48.79378,48.79378,644.0371,235.92792,601.87555,287.10162,1.4712219,1.4712219,1.4712219,17.184845,-2.8659668,-2.8659668,9.792908,-6.1043396,0,-0.515038075,1940,0.043811124,333,6,0.027326427,0.19636367,0.857167301,0.27726449,8,43.57184759,0.223920705,Lagopus muta,0.061008839,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.520833333333332,47.55416666666665]}"
25_0_0,0.457991554,296,1.6396484,10.54837,-8.017548,1756.2831,276.9418,45.57966,45.57966,683.54193,231.01714,637.3041,284.15613,1.6396484,1.6396484,1.6396484,16.918976,-3.0431519,-3.0431519,9.804474,-5.188751,6,-0.898794046,2004,0.09078018,332,6,-0.02121834,0.1277778,0.438371147,0.872508256,37,50.40275188,0.356815364,Lagopus muta,0.104463156,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.962499999999995,47.42083333333332]}"
26_0_0,0.435919375,168,-0.7981262,8.244995,-10.503632,1829.4493,287.7867,47.613754,47.613754,718.846,234.7388,670.2355,281.2261,-0.7981262,-0.7981262,-0.7981262,14.80304,-5.46167,-5.46167,7.7440186,-8.160889,1,0.207911691,2079,0.097168006,332,6,0.15449665,0.19241033,-0.978147601,0.914451645,12,51.15294269,0.348647953,Lagopus muta,0.101753109,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.237499999999997,47.320833333333326]}"
27_0_0,0.619581608,62,-0.13497925,8.777527,-9.72522,1302.1709,189.50943,36.833485,36.833485,508.30438,154.64307,548.3561,169.82198,-0.13497925,-0.13497925,-0.13497925,15.643707,-4.560791,-4.560791,10.655426,-9.76297,0,0.882947593,2065,0.12896854,333,6,0.14367953,0.25476712,0.469471563,0.268773744,10,31.76022563,0.083030857,Lagopus muta,0.01821629,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.554166666666667,47.08749999999999]}"
28_0_0,0.435919375,168,-0.7981262,8.244995,-10.503632,1829.4493,287.7867,47.613754,47.613754,718.846,234.7388,670.2355,281.2261,-0.7981262,-0.7981262,-0.7981262,14.80304,-5.46167,-5.46167,7.7440186,-8.160889,1,0.207911691,2079,0.097168006,332,6,0.15449665,0.19241033,-0.978147601,0.912636835,12,51.15294269,0.348647953,Lagopus muta,0.101753109,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.237499999999997,47.320833333333326]}"
29_0_0,0.619581608,62,-0.13497925,8.777527,-9.72522,1302.1709,189.50943,36.833485,36.833485,508.30438,154.64307,548.3561,169.82198,-0.13497925,-0.13497925,-0.13497925,15.643707,-4.560791,-4.560791,10.655426,-9.76297,0,0.882947593,2065,0.12896854,333,6,0.14367953,0.25476712,0.469471563,0.317205535,10,31.76022563,0.083030857,Lagopus muta,0.01821629,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.554166666666667,47.08749999999999]}"
31_0_0,0.578048713,210,-1.8286438,7.215637,-11.344025,1723.2167,271.21194,46.520657,46.520657,680.9942,223.60208,639.3032,263.47455,-1.8286438,-1.8286438,-1.8286438,13.924591,-6.2597656,-6.2597656,6.9062805,-9.214142,0,-0.5,2365,0.13442086,321,6,0.14061451,0.1960784,-0.866025404,0.992606992,16,63.06281294,0.665345157,Lagopus muta,0.199370313,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.279166666666663,47.129166666666656]}"
32_0_0,0.523847027,234,0.31671143,9.164673,-9.036194,1957.8893,300.1318,50.875305,50.875305,736.6188,269.34808,676.6666,355.9783,0.31671143,0.31671143,0.31671143,15.6562805,-4.1567993,-4.1567993,7.972473,-5.522461,0,-0.809016994,1937,0.052008893,322,6,0.08234838,0.22267458,-0.587785252,0.252799579,17,57.55973953,0.626521899,Lagopus muta,0.195917498,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.345833333333328,47.30416666666666]}"
37_0_0,0.715858069,54,1.0975952,10.030029,-8.60025,1842.5522,279.4646,52.52833,52.52833,659.4526,268.23633,607.81274,350.9987,1.0975952,1.0975952,1.0975952,16.593475,-3.5725403,-3.5725403,8.118988,-4.6011353,2,0.809016994,1900,0.11275679,321,7,0.21873367,0.24896841,0.587785252,0.594541083,15,51.49142257,0.439162004,Lagopus muta,0.132781828,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.695833333333328,47.07916666666666]}"
