system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,chm,ghmi,elevation,landcover,nari,ncri,random,slope,snow_cover,snow_depth,swe,.geo
3627_0,0.723387234376668,174,2.818634,11.756561,-6.6098633,1456.0339,219.97285,41.376072,41.376072,554.15234,198.67967,520.7588,239.84738,2.818634,2.818634,2.818634,18.513489,-1.4013977,-1.4013977,10.742859,-4.464569,8,0.1012305,1418,322,0.3003452,0.43096703,0.7384734156201956,11,52.05585599065208,0.3711288737424476,0.1088599259049937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.4375,47.42083333333332]}"
3628_0,0.7358677227239518,124,5.6504517,14.290344,-3.6133423,1795.9226,276.26096,49.147064,49.147064,686.8105,249.54115,643.71545,308.41006,5.6504517,5.6504517,5.6504517,20.859985,1.2157898,1.2157898,13.020508,-0.5602417,11,0.15626058,1252,313,0.32708403,0.53160274,0.3924381183553386,22,44.27703960399567,0.20701839170442887,0.05566069414449293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.887499999999998,47.529166666666654]}"
3629_0,0.8272056534360982,200,6.08902,15.014893,-3.422821,1793.0371,271.87085,50.28892,50.28892,648.83984,266.91568,590.5127,356.06512,6.08902,6.08902,6.08902,21.667114,1.8341064,1.8341064,12.45163,0.79052734,11,0.10896657,1004,313,0.33507854,0.55730444,0.206860648532606,9,49.27178006013452,0.3819911276647287,0.11416096226352565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.395833333333332,47.61249999999999]}"
3630_0,0.41366118755583076,180,10.564789,20.219055,0.3738098,642.147,114.398224,15.706026,15.706026,247.84818,88.00213,209.38774,113.79947,10.564789,10.564789,10.564789,27.131622,6.4625854,6.4625854,16.550903,3.9940186,1,0.9921926,168,112,0.16800678,0.24352036,0.8260123026054177,0,3.2123130593080256,0.004098957442715458,6.833727154294705E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.32916666666667,48.34583333333332]}"
3631_0,0.4791613787314817,180,10.613495,20.269562,0.42211914,656.54535,115.24983,16.270292,16.270292,250.0835,90.965,209.27156,119.032776,10.613495,10.613495,10.613495,27.13733,6.542877,6.542877,16.17566,4.4358826,3,0.9817314,161,112,0.18123393,0.335536,0.02686813641422947,0,3.170652626966484,0.004143154354765162,6.956772014967557E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.40416666666667,48.24583333333332]}"
3633_0,0.7292389473549674,310,4.196991,12.990967,-5.2273865,1273.0674,198.093,34.927597,34.927597,493.9853,157.53339,475.64667,189.90746,4.196991,4.196991,4.196991,19.16336,0.16949463,0.16949463,12.704468,-4.037506,5,0.26803216,1310,321,0.29039973,0.4693366,0.2192003397980401,1,20.351831577925502,0.03720867889306886,0.007085437378924675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.520833333333334,47.35416666666666]}"
3634_0,0.7724685083220156,303,5.7816772,14.939789,-4.2994385,1019.34766,158.51245,24.524868,24.524868,387.64444,118.35793,375.71246,146.70734,5.7816772,5.7816772,5.7816772,21.519379,1.3838196,1.3838196,13.373016,-2.7236023,15,0.1409411,1063,312,0.048521567,0.19390862,0.4133934489743394,7,15.21622554363315,0.027682908419545144,0.005151325581120509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.604166666666666,46.80416666666666]}"
3635_0,0.10687216779262204,47,-1.9893494,7.241211,-11.8064575,1492.3376,223.04913,43.103905,43.103905,527.1029,219.71991,483.38937,294.50735,-1.9893494,-1.9893494,-1.9893494,14.028412,-6.6445312,-6.6445312,5.554779,-7.7008057,0,0.0035645603,2613,332,0.054942343,0.010742467,0.5016565149081917,15,64.86634453018125,0.8429732698857159,0.2464475625190787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.220833333333328,46.912499999999994]}"
3636_0,0.8198295325787104,13,8.975433,18.276337,-0.8338928,843.96234,141.6079,22.16037,22.16037,322.63278,114.44946,287.18085,145.98576,8.975433,8.975433,8.975433,24.893982,4.9916687,4.9916687,15.332123,2.1480713,21,0.14809783,439,311,0.33434647,0.6462921,0.3843096517972323,2,3.2123130593080256,0.004098957442715458,6.833727154294705E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.25416666666667,48.254166666666656]}"
3637_0,0.7578969387824731,350,6.1011047,15.138855,-3.7092285,1108.0715,181.19987,25.76919,25.76919,445.78137,121.001884,420.3954,152.06392,6.1011047,6.1011047,6.1011047,21.681427,1.8620605,1.8620605,13.625885,-2.0689087,10,0.27686945,1160,231,0.2043252,0.5177821,0.7174475563488002,10,29.756841169880015,0.07573870073101915,0.01632136386439945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.679166666666667,47.05416666666666]}"
3638_0,0.7299834198744,351,0.29156494,9.317993,-9.078674,1425.446,200.2688,44.098236,44.098236,512.7469,204.67001,503.6145,242.84152,0.29156494,0.29156494,0.29156494,16.138275,-3.78891,-3.78891,8.920746,-7.462982,2,0.004270177,2200,321,0.22443505,0.23064396,0.8661631444775008,5,57.88824103860294,0.5227788324177781,0.15289383417278243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.470833333333331,47.13749999999999]}"
3639_0,0.7461080736954224,105,3.854126,12.603577,-5.3501587,1747.6323,261.33914,49.438156,49.438156,651.39996,250.47679,604.92725,310.13467,3.854126,3.854126,3.854126,19.165009,-0.390625,-0.390625,11.309662,-2.607727,8,0.105458446,1511,312,0.27445394,0.4947735,0.01536754560066067,15,51.40127122342396,0.3611791691603967,0.10514901492131447,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.362499999999997,47.379166666666656]}"
3640_0,0.8210880960682561,359,5.1870728,14.177185,-4.4176025,1295.6732,202.7373,36.022377,36.022377,498.43155,174.13972,463.9769,213.88693,5.1870728,5.1870728,5.1870728,20.8732,0.9741821,0.9741821,12.500671,-1.7018738,8,0.2336771,1162,312,0.23589268,0.54818815,0.7525242225749731,12,45.70800091021147,0.22890332209373576,0.06242729972825439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.6875,47.42916666666666]}"
3641_0,0.5734637226222302,39,-0.92233276,8.164001,-10.355316,1465.2369,210.47751,43.466717,43.466717,539.7981,196.09264,534.12726,235.46997,-0.92233276,-0.92233276,-0.92233276,14.780029,-4.84787,-4.84787,8.233551,-9.136963,0,0.0028234662,1973,322,0.053833578,0.06474511,0.4447339134053354,18,59.60173650446734,0.5797075166367419,0.1682932838913082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.095833333333331,46.99583333333332]}"
