NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,CORINE Land Cover 2018,NARI,NCRI,northness,slope,snow_cover,snow_depth,SWE,.geo
0.7380783678261003,333,3.9371338,12.883209,-5.6095886,1207.9456,186.43903,32.835068,32.835068,472.11877,150.55103,452.36295,178.86536,3.9371338,3.9371338,3.9371338,19.560638,-0.25411987,-0.25411987,11.5321045,-4.0110474,2,-0.4539905,1355,0.1463973,324,0.2665721,0.5126405,0.8910065241883678,14,37.31700340928523,0.12019778841769266,0.029178214192770956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.470833333333333,47.195833333333326]}"
0.2352948476225837,296,-1.5037537,7.691223,-11.293823,1507.2415,225.38542,43.450096,43.450096,534.2752,221.26244,489.0931,295.58923,-1.5037537,-1.5037537,-1.5037537,14.426788,-6.119568,-6.119568,6.008667,-7.2571106,0,-0.898794046,2585,0.003762097,332,0.0841624,0.04031068,0.4383711467890774,18,64.86634453018125,0.8429732698857159,0.2464475625190787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.187499999999995,46.90416666666666]}"
0.80180274,119,6.7891846,15.228363,-2.0871277,1776.1381,271.0833,49.721004,49.721004,636.09424,263.24802,564.4262,363.7942,6.7891846,6.7891846,6.7891846,21.258667,2.8793335,2.8793335,10.859314,2.5707703,8,0.8746197071393959,1023,0.31254485,231,0.33950618,0.54351074,-0.48480962,4,24.492727993722927,0.053850319,0.010450186764220912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.937499999999995,47.529166666666654]}"
0.6375455723677836,239,3.2519226,12.511963,-6.82547,1519.088,242.2803,33.652225,33.652225,566.8429,170.31085,495.3011,218.4802,3.2519226,3.2519226,3.2519226,18.82965,-1.0670776,-1.0670776,8.5625305,-5.08667,7,-0.857167301,1685,0.111818165,321,0.29481733,0.3695024,-0.515038075,19,49.13301088513167,0.28883032705269607,0.08181941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.895833333333332,46.720833333333324]}"
0.6961430573469183,293,3.5645447,12.178497,-5.5117493,1923.0945,293.03232,52.380978,52.380978,698.28094,276.357,631.5764,374.70776,3.5645447,3.5645447,3.5645447,18.436493,-0.61428833,-0.61428833,9.526642,-1.4386902,4,-0.920504853,1430,0.08722584,312,0.32736316,0.4581641,0.3907311284892735,11,46.56638721304292,0.28476031469091995,0.081847805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.07083333333333,47.379166666666656]}"
0.5846458197494788,53,9.525116,18.442322,0.09640503,1083.1172,172.41563,30.923992,30.923992,383.50327,162.72507,337.03885,226.92084,9.525116,9.525116,9.525116,24.89273,5.8475647,5.8475647,13.865295,5.3540955,1,0.7986355100472928,427,0.6011233,211,0.21598274,0.35073662,0.6018150231520484,1,6.4971464603283176,0.008426358,0.001394053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.670833333333333,48.212499999999984]}"
0.5338439595108236,320,-2.6682434,6.692322,-12.421356,1213.7548,182.99925,35.513622,35.513622,430.99326,178.6304,392.78098,235.57568,-2.6682434,-2.6682434,-2.6682434,13.529724,-7.282257,-7.282257,4.3284607,-8.792572,2,-0.64278761,2288,0.06111636,333,0.23004693,0.22986156,0.7660444431189778,13,63.44318626115054,0.6892415475910568,0.20407278386632222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.545833333333329,46.85416666666666]}"
0.681446173,322,9.790955,19.27359,-0.21435547,730.82495,126.80631,18.522703,18.522703,281.9576,99.31416,245.91118,126.857124,9.790955,9.790955,9.790955,26.06192,5.7346497,5.7346497,16.139587,2.9153748,20,-0.615661475,338,0.6335151,311,0.27710065,0.4897975,0.788010754,7,3.2123130593080256,0.004098957,6.833727154294705E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.25416666666667,48.34583333333332]}"
0.4819339405934664,180,10.973511,20.786041,0.45010376,652.42346,117.29447,15.762116,15.762116,251.27454,90.43229,201.76337,123.68875,10.973511,10.973511,10.973511,27.724365,6.8865356,6.8865356,15.628082,4.837372,0,1.2246467991473532E-16,130,0.6031145,211,0.20096001,0.15288784,-1,0,2.618792727392556,0.00291939,4.894916618788998E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.120833333333337,48.01249999999999]}"
0.2045339066829254,226,-3.9707336,5.3316345,-13.794647,1488.477,226.67845,41.40484,41.40484,560.9187,204.76726,525.86914,251.55405,-3.9707336,-3.9707336,-3.9707336,12.242096,-8.672058,-8.672058,4.7315674,-10.640137,0,-0.7193398,2836,0.032691203,333,0.004921682,-0.02975273,-0.69465837,5,64.10705861,0.6982928970552611,0.20848530886981023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.887499999999996,47.070833333333326]}"
0.792409522,104,4.5841064,13.492767,-4.9032288,1828.1002,272.6992,51.833088,51.833088,667.1969,269.60452,612.4261,344.51102,4.5841064,4.5841064,4.5841064,20.209808,0.22271729,0.22271729,11.918121,-1.5858154,8,0.9702957262759965,1287,0.25296932,312,0.2768647,0.5377778,-0.241921896,8,52.03495786486833,0.43264501930859556,0.13136435321515627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.154166666666665,47.46249999999999]}"
0.7845026555073635,24,4.7903137,13.520782,-4.506958,1430.4214,223.82791,40.958443,40.958443,546.5071,193.10152,513.51514,241.10165,4.7903137,4.7903137,4.7903137,19.564484,1.0527649,1.0527649,11.884216,-2.0466614,10,0.4067366430758002,1420,0.09988329,312,0.19443583,0.46918595,0.9135454576426009,21,33.565335504659714,0.11250173670485636,0.026712332258907238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.429166666666667,47.67083333333332]}"
0.5674187768829463,2,9.72348,18.677216,0.27297974,1009.48834,162.19109,28.73307,28.73307,357.9712,151.66112,312.89868,211.34633,9.72348,9.72348,9.72348,25.173065,6.006958,6.006958,13.936127,5.622986,0,0.034899497,383,0.53195524,211,0.2381428,0.3575269,0.9993908270190958,1,5.717071964596158,0.0073147,0.001207374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.804166666666665,48.22916666666666]}"
0.6899974516410006,66,8.253815,17.429443,-1.5658875,942.4527,157.07596,22.929869,22.929869,373.06818,108.831085,345.1297,135.08835,8.253815,8.253815,8.253815,23.682312,4.2044067,4.2044067,15.6633,0.29022217,5,0.9135454576426009,596,0.3027073,242,0.25976217,0.47943962,0.4067366430758002,6,6.718401657083619,0.007139583,0.001136986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.945833333333335,47.32916666666666]}"
0.6844032450439357,304,9.999878,19.395294,-0.34991455,912.5387,156.09685,19.18536,19.18536,356.3523,100.967545,313.6393,136.66025,9.999878,9.999878,9.999878,25.916168,5.581726,5.581726,15.566437,2.0124817,3,-0.829037573,375,0.3137667,313,0.23624963,0.4297453,0.559192903,0,9.920356941831965,0.016710496,0.003077064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.295833333333334,46.87083333333332]}"
0.45999105757513736,143,10.733887,20.471191,0.41253662,645.15826,114.03034,15.808934,15.808934,245.04762,89.49092,202.99757,119.8902,10.733887,10.733887,10.733887,27.361786,6.6795044,6.6795044,16.12445,4.7330933,0,0.6018150231520482,150,0.6209207,211,0.1989345,0.13401146,-0.79863551,0,3.202139308666781,0.004013514,6.71117859130247E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.645833333333336,48.26249999999999]}"
0.779178239,326,6.1507874,14.937012,-3.2242432,1374.8914,218.9099,39.362835,39.362835,520.31433,190.03358,478.37842,244.34505,6.1507874,6.1507874,6.1507874,20.956299,2.4869995,2.4869995,12.513031,-0.23022461,11,-0.559192903,994,0.11591554,312,0.28220394,0.49752593,0.8290375725550418,8,26.48324625,0.068308721,0.013850638543532093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.420833333333334,47.80416666666665]}"
0.7354295764246345,290,4.069977,12.838318,-5.284485,1857.622,280.97656,50.905132,50.905132,702.4563,258.71393,656.35004,321.18994,4.069977,4.069977,4.069977,19.474121,-0.44250488,-0.44250488,11.686676,-2.5718384,12,-0.939692621,1349,0.16438082,312,0.19204268,0.5354673,0.342020143,8,43.03434589906093,0.19821686055417806,0.053442401370662994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.179166666666664,47.470833333333324]}"
0.7772822063082538,337,5.2589417,14.098602,-4.163147,1241.9525,196.03078,34.544685,34.544685,482.6798,158.22366,459.10294,192.565,5.2589417,5.2589417,5.2589417,20.184692,1.4313965,1.4313965,13.091248,-2.4187622,14,-0.390731128,987,0.16132645,312,0.23047619,0.5259875,0.9205048534524403,12,25.612030154540015,0.06067518,0.013112753371479192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.537500000000001,47.51249999999999]}"
0.7553190799188008,158,7.3433228,16.525269,-2.7329712,1062.6523,172.89006,24.03133,24.03133,416.65073,116.86559,392.08627,152.28346,7.3433228,7.3433228,7.3433228,22.91504,3.035736,3.035736,14.573212,-0.9850464,11,0.37460659341591224,820,0.16771127,312,0.049829893,0.13955466,-0.927183855,2,18.03738401928722,0.038205168968023256,0.007660691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.1125,46.88749999999999]}"
0.4864046792809395,68,0.21002197,9.163391,-9.085907,1539.9077,216.04729,48.316284,48.316284,552.09894,228.61192,534.04846,268.41754,0.21002197,0.21002197,0.21002197,15.946899,-3.891693,-3.891693,8.676331,-7.0326233,0,0.9271838545667874,2022,0.025965013,333,0.18748063,0.17343386,0.37460659341591196,15,59.65962766829115,0.5860644687108129,0.17624618177592238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362499999999999,47.24583333333332]}"
0.8099255925093435,317,7.156891,16.033081,-2.3059692,1749.642,268.791,49.07503,49.07503,629.9819,260.64697,572.8592,355.55194,7.156891,7.156891,7.156891,22.549255,3.0305176,3.0305176,13.295868,2.6369324,13,-0.68199836,911,0.13464187,313,0.31643736,0.5092396,0.7313537016191707,22,42.67890420157889,0.24616004536807456,0.070253282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.495833333333332,47.695833333333326]}"
0.7174243518627498,92,9.409058,18.723175,-0.5534973,828.59955,141.4863,19.908766,19.908766,326.94977,96.35861,293.61157,121.307915,9.409058,9.409058,9.409058,25.0932,5.3735657,5.3735657,16.002075,1.4121399,14,0.9993908270190958,397,0.18591297,313,0.26315787,0.50989634,-0.034899497,2,4.816046997014649,0.004926675,7.790261297752147E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.1625,47.345833333333324]}"
0.4839556028884951,91,-2.8719788,6.141815,-12.1839905,1590.9642,225.31519,48.483276,48.483276,590.9063,221.4404,593.9331,261.28162,-2.8719788,-2.8719788,-2.8719788,12.695953,-6.794464,-6.794464,6.6430664,-10.543182,0,0.9998476951563913,2641,0.015643405,332,0.113286145,0.09004256,-0.017452406,19,66.26629151615225,0.8193641032902986,0.23935137836562406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.604166666666664,47.07916666666666]}"
0.7465071935922514,20,8.852631,17.830414,-0.68743896,939.7303,159.40573,25.19253,25.19253,361.5109,128.18974,317.85547,161.64684,8.852631,8.852631,8.852631,24.10382,5.039612,5.039612,15.3081665,2.2460327,2,0.3420201433256687,481,0.3582367,243,0.28151998,0.45501396,0.9396926207859084,7,9.374596661429834,0.01221911,0.002085942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.954166666666667,48.01249999999999]}"
0.7359431037255001,100,8.779968,18.01648,-1.220459,1255.48,207.30472,24.328707,24.328707,473.80783,142.85042,387.03036,203.05603,8.779968,8.779968,8.779968,24.322968,4.627075,4.627075,12.858246,1.4833374,6,0.984807753,721,0.25877145,313,0.2502596,0.53432834,-0.173648178,5,15.200998761150537,0.029135394846528728,0.005474845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.204166666666666,46.56249999999999]}"
0.6923973128356796,346,7.217743,16.259827,-2.390442,1039.1686,181.35602,25.859531,25.859531,429.69724,129.0433,400.64053,158.06285,7.217743,7.217743,7.217743,22.41745,3.6327515,3.6327515,14.930267,0.34591675,5,-0.241921896,769,0.5238205,312,0.26331416,0.37094256,0.9702957262759965,2,10.558174936944255,0.013835136389221386,0.00232335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.204166666666666,48.49583333333332]}"
0.6175132832577547,329,8.447449,17.629425,-1.5974426,1027.1095,167.24872,21.8611,21.8611,383.55203,121.82108,316.9317,166.7672,8.447449,8.447449,8.447449,24.092804,4.180847,4.180847,13.091461,0.68118286,3,-0.515038075,630,0.45054805,211,0.2359462,0.34848943,0.8571673007021121,7,13.261411486833106,0.021959742290811674,0.004009265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.2875,46.71249999999999]}"
